term,forms,tags
a,"a, an",1k
able,"able, abilities, ability, abler, ablest, ably, inability, unable",1k
about,about,1k
above,above,1k
absolute,"absolute, absolutely, absolutes, absolutism, absolutist, absolutists",1k
accept,"accept, acceptability, acceptable, acceptably, acceptance, acceptances, accepted, accepting, acceptor, acceptors, accepts, unacceptability, unacceptable, unacceptably",1k
across,across,1k
act,"act, acted, acting, action, actionable, actioned, actioning, actions, actor, actors, actress, actresses, acts, inaction, unactioned",1k
actual,"actual, actualisation, actualisations, actualise, actualised, actualises, actualising, actualities, actuality, actualization, actualizations, actualize, actualized, actualizes, actualizing, actually",1k
add,"add, added, adding, addition, additional, additionality, additionally, additions, additive, additives, adds",1k
address,"address, addressed, addressee, addressees, addresses, addressing",1k
admit,"admit, admits, admittance, admittances, admitted, admittedly, admitting, readmit, readmits, readmittance, readmitted, readmitting",1k
advertise,"advertise, ad, ads, advert, advertised, advertisement, advertisements, advertiser, advertisers, advertises, advertising, advertize, advertized, advertizement, advertizements, advertizer, advertizers, advertizes, advertizing, adverts",1k
afford,"afford, affordability, affordable, afforded, affording, affords, unaffordable",1k
afraid,"afraid, unafraid",1k
after,"after, afterward, afterwards",1k
afternoon,"afternoon, afternoons, midafternoon",1k
again,again,1k
against,against,1k
age,"age, aged, ageing, ageism, ageist, ageists, ageless, ager, agers, ages, aging, underage",1k
ago,ago,1k
agree,"agree, agreeable, agreeably, agreed, agreeing, agreement, agreements, agrees",1k
ahead,ahead,1k
air,"air, aired, airier, airiest, airily, airiness, airing, airings, airless, airs, airy, midair",1k
all,all,1k
allow,"allow, allowable, allowance, allowances, allowed, allowing, allows",1k
almost,almost,1k
alone,alone,1k
along,along,1k
already,already,1k
alright,"alright, alrighty",1k
also,also,1k
although,although,1k
always,"always, allus",1k
among,"among, amongst",1k
amount,"amount, amounted, amounting, amounts",1k
and,"and, ands",1k
angry,"angry, angrier, angriest, angrily, angriness",1k
animal,"animal, animals",1k
another,another,1k
answer,"answer, answerable, answered, answering, answers, unanswerable, unanswered",1k
any,"any, anybody, anyhow, anymore, anyone, anythin, anything, anyway, anyways, anywhere, owt",1k
apart,apart,1k
apparent,"apparent, apparently",1k
appear,"appear, appearance, appearances, appeared, appearing, appears, reappear, reappearance, reappearances, reappeared, reappearing, reappears",1k
area,"area, areas",1k
arm,"arm, armful, armfuls, arms",1k
around,around,1k
arrange,"arrange, arranged, arrangement, arrangements, arranger, arrangers, arranges, arranging, prearrange, prearranged, prearranges, prearranging, rearrange, rearranged, rearrangement, rearrangements, rearranges, rearranging",1k
arrive,"arrive, arrival, arrivals, arrived, arrives, arriving",1k
art,"art, artist, artistic, artistically, artistries, artistry, artists, arts, arty",1k
as,as,1k
ashamed,"ashamed, ashamedly, unashamed, unashamedly",1k
ask,"ask, aske, asked, asking, asks, unasked",1k
at,at,1k
aunt,"aunt, aunthood, auntie, aunties, aunts, aunty",1k
autumn,"autumn, autumnal, autumns",1k
aware,"aware, awareness, unaware, unawares",1k
away,"away, aways",1k
awful,"awful, awfully, awfulness",1k
baby,"baby, babby, babies, babyish, babyhood",1k
back,"back, backed, backer, backers, backing, backs, backward, backwardness, backwardnesses, backwards",1k
bad,"bad, baddie, baddies, baddy, badly, badness",1k
bag,"bag, bagful, bagfuls, baggage, bagged, bagging, bags",1k
ball,"ball, balled, balling, balls",1k
bank,"bank, banked, banker, bankers, banking, banks",1k
bar,"bar, barred, barring, bars, unbarred",1k
base,"base, based, baseless, baser, bases, basest, basing",1k
basic,"basic, basically, basics",1k
bath,"bath, baths",1k
be,"be, ain, am, are, aren, been, beens, bein, being, beings, innit, is, isn, m, re, s, tis, twas, was, wasn, were, weren, wert, wuz",1k
beach,"beach, beached, beaches, beaching",1k
bear,"bear, bearable, bearably, bearer, bearers, bearing, bearings, bears, bore, borne, unbearable, unbearably",1k
beat,"beat, beaten, beater, beaters, beating, beatings, beats, unbeatable, unbeaten",1k
beauty,"beauty, beauteous, beautician, beauticians, beauties, beautification, beautified, beautifies, beautiful, beautifully, beautify",1k
because,"because, cos, coz",1k
become,"become, became, becomes, becoming",1k
bed,"bed, bedded, bedding, beds",1k
before,before,1k
begin,"begin, began, beginner, beginners, beginning, beginnings, begins, begun",1k
behind,"behind, behinds",1k
believe,"believe, believable, believed, believer, believers, believes, believing, unbelievable, unbelievably, unbeliever, unbelievers, unbelieving, unbelievingly",1k
below,below,1k
beneath,beneath,1k
beside,"beside, besides",1k
best,best,1k
bet,"bet, bets, betting",1k
better,"better, bettered, bettering, betterment, betterments, betters",1k
between,"between, betweens",1k
beyond,beyond,1k
big,"big, bigger, biggest, biggish, bigness, biggy, biggie, biggies",1k
bill,"bill, billed, billing, bills",1k
billion,"billion, billions, billionth, billionths",1k
bird,"bird, birdie, birdied, birdies, birdlike, birds, birdy",1k
birth,"birth, birthed, birthing, births, rebirth, rebirths",1k
bit,"bit, bits, bitty, bitsy",1k
black,"black, blacked, blacken, blackened, blackening, blackens, blacker, blackest, blacking, blackish, blackly, blackness, blacks",1k
blood,"blood, blooded, bloodied, bloodier, bloodies, bloodiest, bloodiness, bloodless, bloodlessly, bloodlessness, bloods, bloody, bloodying",1k
blow,"blow, blew, blowed, blower, blowers, blowing, blown, blows",1k
blue,"blue, blueness, bluer, blues, bluest, bluey, bluish",1k
board,"board, boards",1k
boat,"boat, boated, boating, boats",1k
body,"body, bodied, bodies, bodily",1k
bone,"bone, boned, boneless, bones, boney, bonier, boniest, boniness, boning, bony",1k
book,"book, bookish, booklet, booklets, books",1k
boring,"boring, bored, boredom, bores, boringly",1k
born,"born, reborn, unborn",1k
both,both,1k
bother,"bother, bothered, bothering, bothers, bothersome, bovver",1k
bottle,"bottle, bottled, bottles, bottling, unbottled",1k
bottom,"bottom, bottomed, bottoming, bottomless, bottoms",1k
box,"box, boxes",1k
boy,"boy, boys, boyhood, boyish, boyishly, boyishness",1k
bread,"bread, breads",1k
break,"break, breakable, breakage, breakages, breaker, breakers, breaking, breaks, broke, broken, brokenly, unbreakable, unbroken",1k
breakfast,"breakfast, breakfasted, breakfasting, breakfasts",1k
breath,"breath, breathless, breathlessly, breathlessness, breaths, breathy",1k
bright,"bright, brighten, brightened, brightening, brightens, brighter, brightest, brightly, brightness",1k
bring,"bring, bringer, bringers, bringing, brings, brought",1k
brother,"brother, bro, bros, brotherhood, brotherhoods, brotherly, brothers",1k
brown,"brown, browned, browner, brownest, browning, brownish, browns, browny",1k
build,"build, builder, builders, building, buildings, builds, built, prebuilt, rebuild, rebuilding, rebuilds, rebuilt, unbuilt",1k
burn,"burn, burnable, burned, burner, burners, burning, burnings, burns, burnt, unburnable",1k
bus,"bus, buses, bussed, busses, bussing, busing",1k
business,"business, businesses, businesslike, unbusinesslike",1k
busy,"busy, busied, busier, busies, busiest, busily, busying, busyness",1k
but,"but, buts",1k
buy,"buy, bought, buyer, buyers, buying, buys",1k
by,"by, bys",1k
cake,"cake, cakes",1k
call,"call, called, caller, callers, calling, callin, calls, uncalled",1k
camp,"camp, camped, camper, campers, camping, camps",1k
can,"can, cannot",1k
car,"car, cars",1k
card,"card, carding, cards",1k
care,"care, cared, careful, carefully, carefulness, careless, carelessly, carelessness, carer, carers, cares, caring, uncared, uncaring",1k
