language,term,translation,parent,tags
English,a,,,1k
English,an,a,,1k
English,able,,,1k
English,abilities,able,,1k
English,ability,able,,1k
English,abler,able,,1k
English,ablest,able,,1k
English,ably,able,,1k
English,inability,able,,1k
English,unable,able,,1k
English,about,,,1k
English,above,,,1k
English,absolute,,,1k
English,absolutely,absolute,,1k
English,absolutes,absolute,,1k
English,absolutism,absolute,,1k
English,absolutist,absolute,,1k
English,absolutists,absolute,,1k
English,accept,,,1k
English,acceptability,accept,,1k
English,acceptable,accept,,1k
English,acceptably,accept,,1k
English,acceptance,accept,,1k
English,acceptances,accept,,1k
English,accepted,accept,,1k
English,accepting,accept,,1k
English,acceptor,accept,,1k
English,acceptors,accept,,1k
English,accepts,accept,,1k
English,unacceptability,accept,,1k
English,unacceptable,accept,,1k
English,unacceptably,accept,,1k
English,across,,,1k
English,act,,,1k
English,acted,act,,1k
English,acting,act,,1k
English,action,act,,1k
English,actionable,act,,1k
English,actioned,act,,1k
English,actioning,act,,1k
English,actions,act,,1k
English,actor,act,,1k
English,actors,act,,1k
English,actress,act,,1k
English,actresses,act,,1k
English,acts,act,,1k
English,inaction,act,,1k
English,unactioned,act,,1k
English,actual,,,1k
English,actualisation,actual,,1k
English,actualisations,actual,,1k
English,actualise,actual,,1k
English,actualised,actual,,1k
English,actualises,actual,,1k
English,actualising,actual,,1k
English,actualities,actual,,1k
English,actuality,actual,,1k
English,actualization,actual,,1k
English,actualizations,actual,,1k
English,actualize,actual,,1k
English,actualized,actual,,1k
English,actualizes,actual,,1k
English,actualizing,actual,,1k
English,actually,actual,,1k
English,add,,,1k
English,added,add,,1k
English,adding,add,,1k
English,addition,add,,1k
English,additional,add,,1k
English,additionality,add,,1k
English,additionally,add,,1k
English,additions,add,,1k
English,additive,add,,1k
English,additives,add,,1k
English,adds,add,,1k
English,address,,,1k
English,addressed,address,,1k
English,addressee,address,,1k
English,addressees,address,,1k
English,addresses,address,,1k
English,addressing,address,,1k
English,admit,,,1k
English,admits,admit,,1k
English,admittance,admit,,1k
English,admittances,admit,,1k
English,admitted,admit,,1k
English,admittedly,admit,,1k
English,admitting,admit,,1k
English,readmit,admit,,1k
English,readmits,admit,,1k
English,readmittance,admit,,1k
English,readmitted,admit,,1k
English,readmitting,admit,,1k
English,advertise,,,1k
English,ad,advertise,,1k
English,ads,advertise,,1k
English,advert,advertise,,1k
English,advertised,advertise,,1k
English,advertisement,advertise,,1k
English,advertisements,advertise,,1k
English,advertiser,advertise,,1k
English,advertisers,advertise,,1k
English,advertises,advertise,,1k
English,advertising,advertise,,1k
English,advertize,advertise,,1k
English,advertized,advertise,,1k
English,advertizement,advertise,,1k
English,advertizements,advertise,,1k
English,advertizer,advertise,,1k
English,advertizers,advertise,,1k
English,advertizes,advertise,,1k
English,advertizing,advertise,,1k
English,adverts,advertise,,1k
English,afford,,,1k
English,affordability,afford,,1k
English,affordable,afford,,1k
English,afforded,afford,,1k
English,affording,afford,,1k
English,affords,afford,,1k
English,unaffordable,afford,,1k
English,afraid,,,1k
English,unafraid,afraid,,1k
English,after,,,1k
English,afterward,after,,1k
English,afterwards,after,,1k
English,afternoon,,,1k
English,afternoons,afternoon,,1k
English,midafternoon,afternoon,,1k
English,again,,,1k
English,against,,,1k
English,age,,,1k
English,aged,age,,1k
English,ageing,age,,1k
English,ageism,age,,1k
English,ageist,age,,1k
English,ageists,age,,1k
English,ageless,age,,1k
English,ager,age,,1k
English,agers,age,,1k
English,ages,age,,1k
English,aging,age,,1k
English,underage,age,,1k
English,ago,,,1k
English,agree,,,1k
English,agreeable,agree,,1k
English,agreeably,agree,,1k
English,agreed,agree,,1k
English,agreeing,agree,,1k
English,agreement,agree,,1k
English,agreements,agree,,1k
English,agrees,agree,,1k
English,ahead,,,1k
English,air,,,1k
English,aired,air,,1k
English,airier,air,,1k
English,airiest,air,,1k
English,airily,air,,1k
English,airiness,air,,1k
English,airing,air,,1k
English,airings,air,,1k
English,airless,air,,1k
English,airs,air,,1k
English,airy,air,,1k
English,midair,air,,1k
English,all,,,1k
English,allow,,,1k
English,allowable,allow,,1k
English,allowance,allow,,1k
English,allowances,allow,,1k
English,allowed,allow,,1k
English,allowing,allow,,1k
English,allows,allow,,1k
English,almost,,,1k
English,alone,,,1k
English,along,,,1k
English,already,,,1k
English,alright,,,1k
English,alrighty,alright,,1k
English,also,,,1k
English,although,,,1k
English,always,,,1k
English,allus,always,,1k
English,among,,,1k
English,amongst,among,,1k
English,amount,,,1k
English,amounted,amount,,1k
English,amounting,amount,,1k
English,amounts,amount,,1k
English,and,,,1k
English,ands,and,,1k
English,angry,,,1k
English,angrier,angry,,1k
English,angriest,angry,,1k
English,angrily,angry,,1k
English,angriness,angry,,1k
English,animal,,,1k
English,animals,animal,,1k
English,another,,,1k
English,answer,,,1k
English,answerable,answer,,1k
English,answered,answer,,1k
English,answering,answer,,1k
English,answers,answer,,1k
English,unanswerable,answer,,1k
English,unanswered,answer,,1k
English,any,,,1k
English,anybody,any,,1k
English,anyhow,any,,1k
English,anymore,any,,1k
English,anyone,any,,1k
English,anythin,any,,1k
English,anything,any,,1k
English,anyway,any,,1k
English,anyways,any,,1k
English,anywhere,any,,1k
English,owt,any,,1k
English,apart,,,1k
English,apparent,,,1k
English,apparently,apparent,,1k
English,appear,,,1k
English,appearance,appear,,1k
English,appearances,appear,,1k
English,appeared,appear,,1k
English,appearing,appear,,1k
English,appears,appear,,1k
English,reappear,appear,,1k
English,reappearance,appear,,1k
English,reappearances,appear,,1k
English,reappeared,appear,,1k
English,reappearing,appear,,1k
English,reappears,appear,,1k
English,area,,,1k
English,areas,area,,1k
English,arm,,,1k
English,armful,arm,,1k
English,armfuls,arm,,1k
English,arms,arm,,1k
English,around,,,1k
English,arrange,,,1k
English,arranged,arrange,,1k
English,arrangement,arrange,,1k
English,arrangements,arrange,,1k
English,arranger,arrange,,1k
English,arrangers,arrange,,1k
English,arranges,arrange,,1k
English,arranging,arrange,,1k
English,prearrange,arrange,,1k
English,prearranged,arrange,,1k
English,prearranges,arrange,,1k
English,prearranging,arrange,,1k
English,rearrange,arrange,,1k
English,rearranged,arrange,,1k
English,rearrangement,arrange,,1k
English,rearrangements,arrange,,1k
English,rearranges,arrange,,1k
English,rearranging,arrange,,1k
English,arrive,,,1k
English,arrival,arrive,,1k
English,arrivals,arrive,,1k
English,arrived,arrive,,1k
English,arrives,arrive,,1k
English,arriving,arrive,,1k
English,art,,,1k
English,artist,art,,1k
English,artistic,art,,1k
English,artistically,art,,1k
English,artistries,art,,1k
English,artistry,art,,1k
English,artists,art,,1k
English,arts,art,,1k
English,arty,art,,1k
English,as,,,1k
English,ashamed,,,1k
English,ashamedly,ashamed,,1k
English,unashamed,ashamed,,1k
English,unashamedly,ashamed,,1k
English,ask,,,1k
English,aske,ask,,1k
English,asked,ask,,1k
English,asking,ask,,1k
English,asks,ask,,1k
English,unasked,ask,,1k
English,at,,,1k
English,aunt,,,1k
English,aunthood,aunt,,1k
English,auntie,aunt,,1k
English,aunties,aunt,,1k
English,aunts,aunt,,1k
English,aunty,aunt,,1k
English,autumn,,,1k
English,autumnal,autumn,,1k
English,autumns,autumn,,1k
English,aware,,,1k
English,awareness,aware,,1k
English,unaware,aware,,1k
English,unawares,aware,,1k
English,away,,,1k
English,aways,away,,1k
English,awful,,,1k
English,awfully,awful,,1k
English,awfulness,awful,,1k
English,baby,,,1k
English,babby,baby,,1k
English,babies,baby,,1k
English,babyish,baby,,1k
English,babyhood,baby,,1k
English,back,,,1k
English,backed,back,,1k
English,backer,back,,1k
English,backers,back,,1k
English,backing,back,,1k
English,backs,back,,1k
English,backward,back,,1k
English,backwardness,back,,1k
English,backwardnesses,back,,1k
English,backwards,back,,1k
English,bad,,,1k
English,baddie,bad,,1k
English,baddies,bad,,1k
English,baddy,bad,,1k
English,badly,bad,,1k
English,badness,bad,,1k
English,bag,,,1k
English,bagful,bag,,1k
English,bagfuls,bag,,1k
English,baggage,bag,,1k
English,bagged,bag,,1k
English,bagging,bag,,1k
English,bags,bag,,1k
English,ball,,,1k
English,balled,ball,,1k
English,balling,ball,,1k
English,balls,ball,,1k
English,bank,,,1k
English,banked,bank,,1k
English,banker,bank,,1k
English,bankers,bank,,1k
English,banking,bank,,1k
English,banks,bank,,1k
English,bar,,,1k
English,barred,bar,,1k
English,barring,bar,,1k
English,bars,bar,,1k
English,unbarred,bar,,1k
English,base,,,1k
English,based,base,,1k
English,baseless,base,,1k
English,baser,base,,1k
English,bases,base,,1k
English,basest,base,,1k
English,basing,base,,1k
English,basic,,,1k
English,basically,basic,,1k
English,basics,basic,,1k
English,bath,,,1k
English,baths,bath,,1k
English,be,,,1k
English,ain,be,,1k
English,am,be,,1k
English,are,be,,1k
English,aren,be,,1k
English,been,be,,1k
English,beens,be,,1k
English,bein,be,,1k
